InChIKey,preferred_name,smiles,clinical_phase,is_approved,chain_pattern,ai_filled_layers,L2_confidence,L2_predicted_moa,L3_confidence,L3_predicted_moa
HYIMSNHJOBLJNT-UHFFFAOYSA-N,Nifedipine,COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OC,Approved,True,L1+L4,L2+L3,1.0,agonist,1.0,antagonist
NMKSAYKQLCHXDK-UHFFFAOYSA-N,Fendiline,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,Approved,True,L1+L4,L2+L3,0.9998,antagonist,0.9756,antagonist
KPYSYYIEGFHWSV-UHFFFAOYSA-N,Baclofen,NCC(CC(O)=O)c1ccc(Cl)cc1,Approved,True,L1+L4,L2+L3,0.9996,agonist,0.9993,agonist
PVHUJELLJLJGLN-UHFFFAOYSA-N,Nitrendipine,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,Approved,True,L1+L4,L2+L3,0.9538,agonist,0.9977,antagonist
RHBRMCOKKKZVRY-ITLPAZOVSA-N,CHEMBL3952,Cl.O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,Approved,True,L1+L3+L4,L2,0.9849,agonist,,
QHMBSVQNZZTUGM-ZWKOTPCHSA-N,Cannabidiol,CCCCCc1cc(O)c([C@@H]2C=C(C)CC[C@H]2C(C)=C)c(O)c1,Approved,True,L1+L4,L2,0.9811,antagonist,,
KSMAGQUYOIHWFS-UHFFFAOYSA-N,Lofexidine,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,Approved,True,L1+L4,L2,0.9811,agonist,,
FBOUYBDGKBSUES-VXKWHMMOSA-N,Solifenacin,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,Approved,True,L1+L4,L2,0.9672,antagonist,,
LTXREWYXXSTFRX-QGZVFWFLSA-N,Linagliptin,CC#CCn1c(nc2n(C)c(=O)n(Cc3nc(C)c4ccccc4n3)c(=O)c12)N1CCC[C@@H](N)C1,Approved,True,L1+L4,L2,0.9574,agonist,,
LUZRJRNZXALNLM-JGRZULCMSA-N,Dihydroergotamine,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,Approved,True,L1+L4,L2,0.9469,antagonist,,
KLPWJLBORRMFGK-UHFFFAOYSA-N,Molindone,CCc1c(C)[nH]c2CCC(CN3CCOCC3)C(=O)c12,Approved,True,L1+L4,L2,0.9426,agonist,,
WJAJPNHVVFWKKL-UHFFFAOYSA-N,Methoxamine,COc1ccc(OC)c(c1)C(O)C(C)N,Approved,True,L1+L4,L2,0.9354,agonist,,
UYNVMODNBIQBMV-UHFFFAOYSA-N,Ifenprodil,CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1,Approved,True,L1+L4,L2,0.934,agonist,,
OGHNVEJMJSYVRP-UHFFFAOYSA-N,Carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,Approved,True,L1+L4,L2,0.8982,antagonist,,
DHSSDEDRBUKTQY-UHFFFAOYSA-N,Talipexole,Nc1nc2CCN(CC=C)CCc2s1,Approved,True,L1+L4,L2,0.8972,antagonist,,
TTWJBBZEZQICBI-UHFFFAOYSA-N,Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,Approved,True,L1+L4,L2,0.8199,antagonist,,
WAXQNWCZJDTGBU-UHFFFAOYSA-N,Netupitant,CN(C(=O)C(C)(C)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cnc(cc1-c1ccccc1C)N1CCN(C)CC1,Approved,True,L1+L4,L2,0.802,antagonist,,
ZKIAIYBUSXZPLP-UHFFFAOYSA-N,Brexpiprazole,O=c1ccc2ccc(OCCCCN3CCN(CC3)c3cccc4sccc34)cc2[nH]1,Approved,True,L1+L4,L2,0.7488,agonist,,
BYJAVTDNIXVSPW-UHFFFAOYSA-N,Tetryzoline,C1CC(C2=CC=CC=C2C1)C3=NCCN3,Approved,True,L1+L4,L2,0.6789,antagonist,,
HRRBJVNMSRJFHQ-UHFFFAOYSA-N,Naftopidil,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,Approved,True,L1+L4,L2,0.6667,antagonist,,
CBEQULMOCCWAQT-WOJGMQOQSA-N,Triprolidine,Cc1ccc(cc1)C(=C/CN1CCCC1)\c1ccccn1,Approved,True,L1+L4,L2,0.6108,antagonist,,
BCGWQEUPMDMJNV-UHFFFAOYSA-N,Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc12,Approved,True,L1+L4,L2,0.6108,antagonist,,
NKANXQFJJICGDU-QPLCGJKRSA-N,Tamoxifen,CC\C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,Approved,True,L1+L4,L2,0.5598,agonist,,
HCYAFALTSJYZDH-UHFFFAOYSA-N,Desipramine,CNCCCN1c2ccccc2CCc2ccccc12,Approved,True,L1+L4,L2,0.4961,antagonist,,
SCVHFRLUNIOSGI-UHFFFAOYSA-N,8-cyclopentyltheophylline,Cn1c2nc([nH]c2c(=O)n(C)c1=O)C1CCCC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
GOHUJGMYCZDYDF-UHFFFAOYSA-N,Ritolukast,FC(F)(F)S(=O)(=O)Nc1cccc(OCc2ccc3ccccc3n2)c1,,False,L1+L4,L2+L3,1.0,antagonist,0.9716,antagonist
ACAPZKCRDPYIJW-UHFFFAOYSA-N,CHEMBL2608,Cc1cc(no1)C(=O)N(C1CCCCC1)C1CCCCC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
CAGLGYNQQSIUGX-SDBHATRESA-N,CHEMBL256,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NCc3ccco3)ncnc12,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
ANBBLLOZDHXSOE-UHFFFAOYSA-N,CHEMBL2787,Cc1cccc2C(=O)N(C(=O)c12)c1ccc(NC(=O)c2ccccn2)cc1Cl,,False,L1+L4,L2,1.0,agonist,,
XZFMJVJDSYRWDQ-AWFVSMACSA-N,"(2r,4r)-4-aminopyrrolidine-2,4-dicarboxylate",N[C@]1(CN[C@H](C1)C(O)=O)C(O)=O,,False,L1+L4,L2+L3,0.9999,agonist,1.0,agonist
UWYFUCDLJDTNBA-UHFFFAOYSA-N,CHEMBL1293294,CCCc1cc(no1)C(=O)NC1CCCCC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
RFMKOOPRTSYQNO-UHFFFAOYSA-N,CHEMBL3230,COc1ccc(cc1)-c1cc(no1)C(=O)N(C1CCCCC1)C1CCCCC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
KULQLZKQQHKTID-UHFFFAOYSA-N,CHEMBL4333,O=C(N(C1CCCCC1)C1CCCCC1)c1cc(on1)C1CCCCC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
DNXKACKCTLURQN-ACJLOTCBSA-N,CHEMBL2434,CC1=CCC[C@H]1NC(=O)Nc1ccc(Cl)c(c1O)S(=O)(=O)[C@@]1(C)CCOC1,,False,L1+L3+L4,L2+L3,1.0,antagonist,1.0,antagonist
IKKTXVDCGJIDIH-UHFFFAOYSA-N,CHEMBL4333,O=C(N(C1CCCCC1)C1CCCCC1)c1cc(on1)C1CCCC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
QGKGWOPLCAIMOZ-UHFFFAOYSA-N,CHEMBL1821,COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)c(F)c1.Cl,,False,L1+L4,L2+L3,0.9986,agonist,1.0,agonist
NDKGACIWVAOUQH-UHFFFAOYSA-N,CHEMBL2274,O=C(N(C1CCCCC1)C1CCCCC1)c1cc(on1)C1CC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
NQYUDXFRHWJJPT-UHFFFAOYSA-N,CHEMBL4333,O=C(N(C1CCCC1)C1CCCCCC1)c1cc(on1)C1CC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
ILJAICMRHMTKBM-ZQWQDMLBSA-N,CHEMBL270,C=CCNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c(C)cc(O)cc1C)NCC=C,,False,L1+L4,L2+L3,1.0,agonist,0.9992,agonist
MSMGILWIFGCKCS-UHFFFAOYSA-N,CHEMBL4096,COc1ccc(CNCCC(c2ccccc2)c2ccc3OCOc3c2)cc1,,False,L1+L3+L4,L2,1.0,antagonist,,
ZJDZCPFFIUGYOM-UHFFFAOYSA-N,CHEMBL3230,O=C(N(C1CCCCC1)C1CCCCC1)c1cc(on1)-c1ccccc1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
PUZZVOMIHNMZOZ-UHFFFAOYSA-N,CHEMBL4333,O=C(N(C1CCCC1)C1CCCCC1)c1cc(on1)C1CC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
NKYOMLAKLYQOAV-UHFFFAOYSA-N,CHEMBL210,C=CCc1ccccc1OCC(O)CNCCOCCOCCOCCOCCNC(=O)C1C(C(=O)O)C(C(=O)O)C1C(=O)O,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
XBSYYNWVLYLNAE-UHFFFAOYSA-N,CHEMBL4333,CC(C)Cc1cc(no1)C(=O)N(C1CCCCC1)C1CCCCC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
SOVZWPDZKUHDRE-DOTOQJQBSA-N,CHEMBL3227,Clc1cccc(c1)-n1nnc(n1)[C@H]1CC[C@H]2CN(CCN12)c1nccnc1C#N,,False,L1+L4,L2+L3,1.0,antagonist,0.9948,antagonist
MNTCJMJDKMJXDL-UHFFFAOYSA-N,CHEMBL4333,CCOc1ccc(cc1OCC)-c1cc(no1)C(=O)N(C1CCCCC1)C1CCCCC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
XXKUOUAAFYMOTQ-UHFFFAOYSA-N,CHEMBL4333,O=C(N(C1CCCCC1)C1CCCCC1)c1coc(n1)C1CC1,,False,L1+L4,L2+L3,1.0,agonist,0.9999,agonist
QTYPWWSCLAZZFG-UHFFFAOYSA-N,CHEMBL3230,CC(C)c1cc(no1)C(=O)N(C1CCCCC1)C1CCCCC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
GRIJGLMNIRAJPK-UHFFFAOYSA-N,CHEMBL4333,CC1CCCCC1N(C1CCOCC1)C(=O)c1cc(on1)C1CC1,,False,L1+L4,L2+L3,0.9999,agonist,1.0,agonist
GNTBQOIXPDGMJM-UHFFFAOYSA-N,CHEMBL210,CC(C)NCC(O)COc1ccccc1CCCSCC(=O)NCCOCCOCCNC(=O)C1C(C(=O)O)C(C(=O)O)C1C(=O)O,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
FYBWLLAUJOWVGO-UHFFFAOYSA-N,CHEMBL1916,CC(Sc1ccccc1-c1ccccc1)C1=NCCN1,,False,L1+L4,L2+L3,1.0,antagonist,0.9969,antagonist
FRCIYEULNJCLEJ-UHFFFAOYSA-N,CHEMBL1293294,O=C(NC1CCCCC1)c1cc(on1)C1CC1,,False,L1+L4,L2+L3,1.0,agonist,1.0,agonist
