InChIKey,UniProt_AC,L1_state,L2_state,L3_state,L4_state,chain_pattern,is_approved,gpcract_prediction_available
AAABHMIRDIOYOK-UHFFFAOYSA-N,P43220,,,,Inactive,No_active_layer,False,True
AAADJTFUPWEOSD-UHFFFAOYSA-N,P43220,,,,Active,L4_only,False,True
AAADMRIIAVPPNA-UHFFFAOYSA-N,P08912,,Active,,,L2_only,False,True
AAADPBLPXCELKR-UHFFFAOYSA-N,P20309,,Active,,,L2_only,False,True
AAAFCIOIVLBHKA-UHFFFAOYSA-N,P43220,,,,Active,L4_only,False,True
AAAGJCMYVIZUAW-VBAOBBRWSA-N,P20309,Active,,,,L1_only,False,True
AAAHKMSAPZHJEC-UHFFFAOYSA-N,P50406,,,,Active,L4_only,False,True
AAAIGLFCNVJIAZ-DOVGANMCSA-N,P41180,,Active,,,L2_only,False,True
AAALVBIWOWZUBR-UHFFFAOYSA-N,P43220,,,,Inactive,No_active_layer,False,True
AAALVYBICLMAMA-UHFFFAOYSA-N,Q6W5P4,,Inactive,,,No_active_layer,False,False
AAAMTKOLGCYPPA-UHFFFAOYSA-N,P43220,,,,Inactive,No_active_layer,False,True
AAANLCCSPMLHMI-UHFFFAOYSA-N,P29371,,Active,,,L2_only,False,False
AAAOTGDHZDZLFN-UHFFFAOYSA-N,P30968,Active,,,Active,L1+L4,False,True
AAAPQZDYNWUVQA-UHFFFAOYSA-N,P21554,Active,Active,,,L1+L2,False,True
AAAPQZDYNWUVQA-UHFFFAOYSA-N,P34972,Active,,,,L1_only,False,True
AAAQITMOTRAMTE-UHFFFAOYSA-N,Q9HBX9,,,,Inactive,No_active_layer,False,False
AAAQLZOAUALGQJ-UHFFFAOYSA-N,O95136,,Active,,,L2_only,False,True
AAASRNHSMGFXGC-UHFFFAOYSA-N,Q6W5P4,,Inactive,,,No_active_layer,False,False
AAAWRDCWFBVNLC-UHFFFAOYSA-N,P16473,,Active,,Active,L2+L4,False,True
AAAWRDCWFBVNLC-UHFFFAOYSA-N,P43220,,,,Active,L4_only,False,True
AAAXWRLNADMLIF-WKULSOCRSA-N,P35351,Active,,,,L1_only,False,False
AAAZRMGPBSWFDK-UHFFFAOYSA-N,P43220,,,,Inactive,No_active_layer,False,True
AABAPQXESPRCSA-UHFFFAOYSA-N,Q99705,Active,,,,L1_only,False,False
AABAXVYXHFJILS-UHFFFAOYSA-N,P43220,,,,Inactive,No_active_layer,False,True
AABDRJHZBVPFLI-KHPPLWFESA-N,P21554,Active,,,,L1_only,False,True
AABDRJHZBVPFLI-KHPPLWFESA-N,P34972,Active,,,,L1_only,False,True
AABHMQVNLULEDP-UHFFFAOYSA-N,P49019,,Active,,,L2_only,False,True
AABJMUMRLMCEIF-UHFFFAOYSA-N,P43220,,,,Inactive,No_active_layer,False,True
AABLJASYIDRGBU-GUTACTQSSA-M,P49682,Active,Active,,,L1+L2,False,True
AABPSESTZLBZAJ-UHFFFAOYSA-N,P49682,Active,,,,L1_only,False,True
AABQOSHDRSWHSN-UHFFFAOYSA-N,O95136,,,,Active,L4_only,False,True
AABQOSHDRSWHSN-UHFFFAOYSA-N,P08908,,,,Active,L4_only,False,True
