InChIKey,preferred_name,smiles,clinical_phase,is_approved,in_assay_universe
AAABHMIRDIOYOK-UHFFFAOYSA-N,CHEMBL1293226,Cn1cc([N+](=O)[O-])c(C(=O)Nc2ccc3[nH]c(-c4ccccc4)nc3c2)n1,,False,True
AAADJTFUPWEOSD-UHFFFAOYSA-N,CHEMBL2179,O=C(CSc1nnc(C2CC2)n1-c1ccccc1)NCCc1ccc(F)cc1,,False,True
AAADMRIIAVPPNA-UHFFFAOYSA-N,CHEMBL2035,O=C(c1ccc(SC(F)(F)F)cc1)N1CCN2C(=O)c3ccccc3C12c1ccccc1,,False,True
AAADPBLPXCELKR-UHFFFAOYSA-N,CHEMBL245,CN1CCN(Cc2cccc(c2)C(=O)NCc2cccc(c2)-c2cccc(CN3CCNCC3)c2)CC1,,False,True
AAAFCIOIVLBHKA-UHFFFAOYSA-N,CHEMBL1795085,O=C(NCc1cccnc1)C1Cc2c(-c3ccc(Cl)cc3)ccnc2O1,,False,True
AAAGJCMYVIZUAW-VBAOBBRWSA-N,AAAGJCMYVIZUAW-VBAOBBRWSA-N,Nc1cccc(CNC(=O)[C@H]2CCCN2C(=O)[C@@H]3CCCN3C(=O)CC(c4ccccc4)(c5ccccc5)c6ccccc6)c1.OC(=O)C(F)(F)F,,False,True
AAAGJRIQWZJWDJ-FQEVSTJZSA-N,CHEMBL4422,COc1ccncc1-c1csc2ccc(COc3ccc(cc3)[C@H](CC(O)=O)C#CC)cc12,,False,False
AAAGJRIQWZJWDJ-UHFFFAOYSA-N,AAAGJRIQWZJWDJ-UHFFFAOYSA-N,,,False,False
AAAHKMSAPZHJEC-UHFFFAOYSA-N,CHEMBL3371,CN1CCCC1Cc1c[nH]c2ccc(OC3CCCCC3)cc12,,False,True
AAAIGLFCNVJIAZ-DOVGANMCSA-N,CHEMBL1878,C[C@@H](OC[C@H](O)CN1CCCC1(C)Cc1ccccc1)c1ccc(C)c2O[C@@H]3[C@H]([C@@H]3c12)C(O)=O,,False,True
AAAIGLFCNVJIAZ-UHFFFAOYSA-N,AAAIGLFCNVJIAZ-UHFFFAOYSA-N,,,False,False
AAALVBIWOWZUBR-UHFFFAOYSA-N,CHEMBL4096,Cc1cccc(NS(=O)(=O)c2ccc3c(c2)CCCN3C(=O)C2CCC2)c1C,,False,True
AAALVYBICLMAMA-UHFFFAOYSA-N,Cgp-52411,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,,False,True
AAAMTKOLGCYPPA-UHFFFAOYSA-N,CHEMBL1293278,CCCCn1c(N)c(N(CC(C)C)C(=O)c2oc3ccc(Br)cc3c2C)c(=O)[nH]c1=O,,False,True
AAANLCCSPMLHMI-UHFFFAOYSA-N,CHEMBL4429,COc1ccccc1N1CCN(CC1)C(=O)c1cc(n[nH]1)-c1ccncc1,,False,True
AAAOOFGUNGMUQS-PEWBXTNBSA-N,CHEMBL2107,CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)O)C(C)C,,False,False
AAAOOFGUNGMUQS-ZFWNXTRLSA-N,CHEMBL2107,CSCC[C@@H](NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)O)C(C)C,,False,False
AAAOTGDHZDZLFN-UHFFFAOYSA-N,CHEMBL1855,CONC(=O)Nc1ccc(cc1)-c1sc2n(Cc3c(F)cccc3F)c(=O)n(-c3ccccc3)c(=O)c2c1CN(C)CCc1ccccn1,,False,True
AAAPQZDYNWUVQA-UHFFFAOYSA-N,CHEMBL218,CCOCC(=O)NC1CCCOc2c1nn(c2-c1ccc(Cl)cc1)-c1ccccc1Cl,,False,True
AAAQFGUYHFJNHI-SFHVURJKSA-N,Molibresib,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,Phase 2,False,False
AAAQITMOTRAMTE-UHFFFAOYSA-N,CHEMBL1293316,CCOc1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nc(C)cc(C)n2)cc1,,False,True
AAAQLZOAUALGQJ-UHFFFAOYSA-N,CHEMBL2955,CC(C)CC1(O)CCN(CC1)C(=O)Nc1cc(Oc2ccc(cc2)C(O)=O)cc(Oc2ccc(F)cc2F)c1,,False,True
AAASKFXMJHJYCS-UHFFFAOYSA-N,AAASKFXMJHJYCS-UHFFFAOYSA-N,Cc1cc2c(C)ccc(F)c2n1CCNc1cc(ncn1)-c1ccc(cc1)-c1n[nH]cc1C(O)=O,,False,False
AAASRNHSMGFXGC-UHFFFAOYSA-N,CHEMBL1293232,Cc1ccc(-n2c(-c3cccs3)nc3ccccc3c2=O)cc1,,False,True
