chain_pattern,layers_in_combo,n_compounds,n_approved,approval_rate_pct,wilson_ci_lo_pct,wilson_ci_hi_pct,e_bliss,bliss_SI,bliss_SI_ci_lo,bliss_SI_ci_hi,bliss_interpretation
No_active_layer,,278682,1631,0.5853,0.5576,0.6143,,,,,baseline (no active layer)
L1_only,L1,65755,109,0.1658,0.1374,0.1999,0.001658,1.0,0.8292,1.206,"reference (single layer, SI=1)"
L2_only,L2,36546,77,0.2107,0.1686,0.2632,0.002107,1.0,0.8003,1.2493,"reference (single layer, SI=1)"
L3_only,L3,1812,10,0.5519,0.3,1.0129,0.005519,1.0,0.5437,1.8354,"reference (single layer, SI=1)"
L4_only,L4,59592,169,0.2836,0.244,0.3296,0.002836,1.0,0.8603,1.1623,"reference (single layer, SI=1)"
L1+L2,"L1,L2",20060,221,1.1017,0.9663,1.2558,0.003761,2.9292,2.5692,3.3389,Synergistic
L1+L3,"L1,L3",1115,52,4.6637,3.574,6.0646,0.007167,6.5069,4.9866,8.4616,Synergistic
L1+L4,"L1,L4",9357,244,2.6077,2.3037,2.9505,0.004489,5.8091,5.132,6.5729,Synergistic
L2+L3,"L2,L3",1717,49,2.8538,2.1654,3.7528,0.007614,3.7481,2.8439,4.9287,Synergistic
L2+L4,"L2,L4",12398,274,2.21,1.9657,2.484,0.004937,4.4766,3.9816,5.0315,Synergistic
L3+L4,"L3,L4",1542,53,3.4371,2.6373,4.4683,0.008339,4.1217,3.1626,5.3583,Synergistic
L1+L2+L3,"L1,L2,L3",560,43,7.6786,5.7504,10.1834,0.009259,8.293,6.2105,10.9982,Synergistic
L1+L2+L4,"L1,L2,L4",2580,165,6.3953,5.5146,7.4058,0.006586,9.7099,8.3726,11.2441,Synergistic
L1+L3+L4,"L1,L3,L4",331,43,12.9909,9.7895,17.0415,0.009983,13.0132,9.8063,17.0707,Synergistic
L2+L3+L4,"L2,L3,L4",539,39,7.2356,5.3379,9.7386,0.010428,6.9384,5.1186,9.3385,Synergistic
Full_chain,"L1,L2,L3,L4",228,37,16.2281,12.0087,21.5666,0.012069,13.4463,9.9502,17.8697,"REFERENCE-ONLY (L2-L3 dependent, Fisher OR=9.24)"
