UniProt_AC,gene_name,uniprot_entry_name,protein_name,gpcr_class_letter,gpcr_class_name,gpcr_family,organism,chembl_target_id,n_pairs_in_db,has_gpcract_prediction
A0A2J8P2M1,P2RY14,A0A2J8P2M1_PANTR,Purinergic receptor P2Y14,,,,Pan troglodytes,CHEMBL3831325,40,False
A5A4K8,,A5A4K8_RABIT,Motilin receptor,,,,Oryctolagus cuniculus,CHEMBL5306,27,False
A6I4C9,Ccr1,A6I4C9_RAT,C-C motif chemokine receptor 1,,,,Rattus norvegicus,CHEMBL5499,22,False
A6IZR3,Mlnr,A6IZR3_RAT,Thyrotropin-releasing hormone receptor,,,,Rattus norvegicus,CHEMBL3875,23,False
A6QR73,Gpr39,A6QR73_RAT,G protein-coupled receptor 39-1b,,,,Rattus norvegicus,CHEMBL3091267,7,False
A8K2H7,C3AR1,A8K2H7_HUMAN,"Complement component 3a receptor 1, isoform CRA_a",A,Class A (Rhodopsin),Other,Homo sapiens,CHEMBL3308978,4,False
B0FL73,,B0FL73_CAVPO,,,,,,CHEMBL5471,281,False
B2GV46,Ffar3,FFAR3_RAT,Free fatty acid receptor 3,A,Class A (Rhodopsin),,Rattus norvegicus,CHEMBL3886125,15,False
B6F061,,B6F061_MACFA,,,,,,CHEMBL1921663,1,False
B9UM26,gpr81,B9UM26_CANLF,G-protein coupled receptor 81,,,,Canis lupus familiaris,CHEMBL2146352,1,False
B9UM29,gpr81,B9UM29_MACMU,G-protein coupled receptor 81,,,,Macaca mulatta,CHEMBL2146351,1,False
D4ADR1,Lpar5,D4ADR1_RAT,Lysophosphatidic acid receptor 5,,,,Rattus norvegicus,CHEMBL4295535,11,False
F1NJH8,TRPV1,F1NJH8_CHICK,Transient receptor potential cation channel subfamily V member 1,,,,Gallus gallus,CHEMBL2412949,7,False
G3HDX1,,G3HDX1_CRIGR,,,,,,CHEMBL3988626,5,False
G3V906,Hcar1,G3V906_RAT,Hydroxycarboxylic acid receptor 1,,,,Rattus norvegicus,CHEMBL2146353,4,False
G7Q3P2,,G7Q3P2_MACFA,Glucose-dependent insulinotropic receptor,,,,Macaca fascicularis,CHEMBL3102689,1,False
H9EUW9,S1PR1,H9EUW9_MACMU,Sphingosine 1-phosphate receptor 1,,,,Macaca mulatta,CHEMBL3559675,4,False
O00222,GRM8,GRM8_HUMAN,Metabotropic glutamate receptor 8,C,Class C (Glutamate),Metabotropic glutamate receptors,Homo sapiens,CHEMBL3228,169,True
